"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"SOJ microbiology & infectious diseases","SOJ Microbiol Infect Dis","","2372-0956","101654930"
"International journal of public mental health and neurosciences","Int J Public Ment Health Neurosci","","2394-4668","101655045"
"Journal of nursing doctoral students scholarship","J Nurs Dr Stud Scholarsh","","","101655104"
"Journal of statistical distributions and applications","J Stat Distrib Appl","","2195-5832","101655119"
"JCRS online case reports","JCRS Online Case Rep","","2214-1677","101655167"
"Journal of drug design and research","J Drug Des Res","","","101655174"
"Sensing and Bio-Sensing Research","Sens Biosensing Res","","2214-1804","101655178"
"The European journal of psychiatry","Eur J Psychiatry","0213-6163","2340-4469","8708611"
"... Health innovations and point-of-care technologies conference. Health innovations and point-of-care technologies conference","Health Innov Point Care Conf","","","101655310"
"Teaching children mathematics","Teach Child Math","1073-5836","2327-0780","101655313"
"ADB economics working paper series","ADB Econ Work Pap Ser","2313-6537","2313-6545","101655320"
"TSG : tijdschrift voor gezondheidswetenschappen","TSG","1388-7491","1876-8776","9811517"
"Open veterinary journal","Open Vet J","2226-4485","2218-6050","101653182"
"Revista Kairos : gerontologia","Rev Kairos","","2176-901X","101655191"
"Maternal health, neonatology and perinatology","Matern Health Neonatol Perinatol","","2054-958X","101655194"
"Revista portuguesa de pneumologia","Rev Port Pneumol (2006)","","2173-5115","101655511"
"Proceedings of IEEE Southeastcon. IEEE Southeastcon","Proc IEEE Southeastcon","1091-0050","1558-058X","101655318"
"International journal of otorhinolaryngology","Int J Otorhinolaryngol","","","101655436"
"MobiSys ... : the ... International Conference on Mobile Systems, Applications and Services. International Conference on Mobile Systems, Applications, and Services","MobiSys","","","101655440"
"Borderline personality disorder and emotion dysregulation","Borderline Personal Disord Emot Dysregul","","2051-6673","101650634"
"Biomaterials research","Biomater Res","1226-4601","2055-7124","101650636"
"Journal of lightwave technology : a joint IEEE/OSA publication","J Lightwave Technol","0733-8724","1558-2213","101213163"
"Frontiers in molecular biosciences","Front Mol Biosci","","2296-889X","101653173"
"Journal of ultrasonography","J Ultrason","2084-8404","2451-070X","101622466"
"Cerebellum & ataxias","Cerebellum Ataxias","","2053-8871","101648460"
"Fungal biology and biotechnology","Fungal Biol Biotechnol","","2054-3085","101655873"
"Austral entomology","Aust Entomol","2052-174X","2052-1758","101655945"
"Animal behavior and cognition","Anim Behav Cogn","2372-5052","2372-4323","101656062"
"Erkenntnis","Erkenntnis","0165-0106","1572-8420","101656066"
"Annalen des Naturhistorischen Museums in Wien. Serie A, Fur Mineralogie und Petrographie, Geologie und Palaontologie, Anthropologie und Prahistorie","Ann Naturhist Mus Wien Ser A Mineral Petrogr Geol Palaontol Anthropol Prahist","0255-0091","","101656069"
"Addictive behaviors reports","Addict Behav Rep","","2352-8532","101656077"
"Cell systems","Cell Syst","2405-4712","2405-4720","101656080"
"Biotechnology and development monitor","Biotechnol Dev Monit","0924-9877","","9885644"
"Behavioral disorders","Behav Disord","0198-7429","2163-5307","8002660"
"International journal of English linguistics","Int J Engl Linguist","1923-869X","1923-8703","101656110"
"Electrochemistry (Tokyo, Japan)","Electrochemistry (Tokyo)","1344-3542","2186-2451","101656115"
"ECS journal of solid state science and technology : JSS","ECS J Solid State Sci Technol","2162-8769","2162-8777","101655748"
"Advances in hepatology","Adv Hepatol","2356-6744","2314-7709","101655846"
"Advances in vascular medicine","Adv Vasc Med","2356-6914","2314-7830","101655850"
"Temperature (Austin, Tex.)","Temperature (Austin)","2332-8940","2332-8959","101655855"
"Pediatric health, medicine and therapeutics","Pediatric Health Med Ther","","1179-9927","101655856"
"The Journal of materials education","J Mater Educ","0738-7989","","101655898"
"ASEAN heart journal : Official journal of the ASEAN Federation of Cardiology","ASEAN Heart J","0219-5666","2315-4551","101197681"
"Contemporary school psychology","Contemp Sch Psychol","2159-2020","2161-1505","101562449"
"Tobacco regulatory science","Tob Regul Sci","","2333-9748","101655763"
"Biomedical image registration, ... proceedings. WBIR (Workshop : 2006- )","Biomed Image Regist Proc","","","101656132"
"Ocular oncology and pathology","Ocul Oncol Pathol","2296-4681","2296-4657","101656139"
"Intelligent virtual agents : ... International Workshop, IVA ... proceedings. IVA (Conference)","Intell Virtual Agents","","","101656140"
"Journal of development and agricultural economics","J Dev Agric Econ","","2006-9774","101575018"
"Poverty & public policy","Poverty Public Policy","","1944-2858","101656495"
"Observational studies","Obs Stud","","2767-3324","101656496"
"International journal of psychology and psychoanalysis","Int J Psychol Psychoanal","","","101656258"
"The sport journal","Sport J","","1543-9518","101656327"
"Water","Water (Basel)","","2073-4441","101613952"
"HeartRhythm case reports","HeartRhythm Case Rep","","2214-0271","101656239"
"Psychopathology review","Psychopathol Rev","","2051-8315","101656242"
"Machine learning and knowledge discovery in databases : European Conference, ECML PKDD ... : proceedings. ECML PKDD (Conference)","Mach Learn Knowl Discov Databases","","","101656249"
"Journal of cognitive education and psychology : JCEP","J Cogn Educ Psychol","1945-8959","1810-7621","101656616"
"Science bulletin","Sci Bull (Beijing)","2095-9273","2095-9281","101655530"
"Motriz : revista de educacao fisica. UNESP","Motriz","","1980-6574","101656534"
"Sport, education and society","Sport Educ Soc","1357-3322","1470-1243","101656541"
"Scripta geologica","Scr Geol","0375-7587","1876-2077","101656717"
"Mizunami-shi Kaseki Hakubutsukan kenkyu hokoku. Bulletin of the Mizunami Fossil Museum. Mizunami-shi Kaseki Hakubutsukan","Mizunamishi Kaseki Hakubutsukan Kenkyu Hokoku","0385-0900","","101656721"
"Bulletin of geosciences","Bull Geosci","1214-1119","1802-8225","101656729"
"Kinesiology review (Champaign, Ill.)","Kinesiol Rev (Champaign)","2163-0453","2161-6035","101656548"
"Sleep health","Sleep Health","2352-7218","2352-7226","101656808"
"Journal of usability studies","J Usability Stud","","1931-3357","101656810"
"American journal of entrepreneurship","Am J Entrep","2164-9685","","101656830"
"Asian journal of social science","Asian J Soc Sci","1568-4849","2212-3857","101656833"
"European physical education review","Eur Phy Educ Rev","1356-336X","1741-2749","101653923"
"Ukrains'kyi biokhimichnyi zhurnal (1999 )","Ukr Biokhim Zh (1999)","","","101657175"
"Ukrainian biochemical journal","Ukr Biochem J","2409-4943","2413-5003","101657176"
"Journal of biomarkers","J Biomark","2090-8660","2090-7699","101628831"
"Journal of neurodegenerative diseases","J Neurodegener Dis","2090-858X","2090-8601","101622104"
"Lung cancer international","Lung Cancer Int","2090-3197","2090-3200","101633384"
"Neuroscience journal","Neurosci J","2314-4262","2314-4270","101622106"
"Critical and radical social work","Crit Radic Soc Work","2049-8608","2049-8675","101657097"
"Otorinolaringologia","Otorinolaringologia","0392-6621","1827-188X","8204615"
"Oncology nurse edition","Oncol Nurse Ed","","","101656494"
"International journal of cancer and clinical research","Int J Cancer Clin Res","","2378-3419","101656982"
"Progress in biomaterials","Prog Biomater","2194-0509","2194-0517","101656983"
"Prison service journal","Prison Serv J","0300-3558","2046-4215","101656988"
"JACC. Clinical electrophysiology","JACC Clin Electrophysiol","2405-500X","2405-5018","101656995"
"Journal of intercultural ethnopharmacology","J Intercult Ethnopharmacol","","2146-8397","101653911"
"IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum : [proceedings]. IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum","IEEE Int Symp Parallel Distrib Process Workshops Phd Forum","2164-7062","","101657008"
"AIMS biophysics","AIMS Biophys","","2377-9098","101657020"
"Journal of audiology & otology","J Audiol Otol","2384-1621","2384-1710","101657815"
"Integrated pharmacy research & practice","Integr Pharm Res Pract","","2230-5254","101656778"
"Prospects","Prospects (Paris)","0033-1538","1573-9090","101656637"
"Physical education and sport pedagogy","Phys Educ Sport Pedagogy","1740-8989","1742-5786","101656656"
"Oncology nursing news","Oncol Nurs News","1936-4385","","101319541"
"Anadolu psikiyatri dergisi","Anadolu Psikiyatri Derg","1302-6631","","101493266"
"The International zoo yearbook","Int Zoo Yearb","0074-9664","1748-1090","0043246"
"Applied nanoscience","Appl Nanosci","2190-5509","2190-5517","101658128"
"Ronald E. McNair postbaccalaureate achievement program : [journal]","Ronald E McNair Postbac Achiev Program","1554-3927","","101657935"
"Computational modeling of objects presented in images : fundamentals, methods, and applications : 4th International Conference, CompIMAGE 2014, Pittsburgh, PA, USA, September 3-5, 2014 : proceedings. CompIMAGE (Conference) (4th : 2014 :...","Comput Model Objects Present Images (2014)","","","101657941"
"Biophysics (Nagoya-shi, Japan)","Biophysics (Nagoya-shi)","","1349-2942","101286675"
"Data in brief","Data Brief","","2352-3409","101654995"
"The 2010 ACM International Conference on Bioinformatics and Computational Biology : ACM-BCB 2010 : Niagara Falls, New York, U.S.A., August 2-4, 2010. ACM International Conference on Bioinformatics and Computational Biology (1st : 2010 :...","ACM Int Conf Bioinform Comput Biol (2010)","","","101658270"
"IASTED International Conference on Computational and Systems Biology : November 13-14, 2006, Dallas, Texas, USA (CASB 2006)","IASTED Int Conf Comput Syst Biol (2006)","","","101658273"
"International Conference on Dependable Systems and Networks workshops : [proceedings]. International Conference on Dependable Systems and Networks","Int Conf Dependable Syst Netw Workshops","2325-6648","2325-6664","101658275"
"Healthy aging research","Healthy Aging Res","","2261-7434","101647988"
"Journal of cleft lip palate and craniofacial anomalies","J Cleft Lip Palate Craniofacial Anomalies","2348-2125","2348-3644","101657978"
"NPJ schizophrenia","NPJ Schizophr","","2334-265X","101657919"
"Contemporary issues in education research (Littleton, Colo.)","Contemp Issues Educ Res (Littleton)","1940-5847","1941-756X","101657850"
"Ampersand (Oxford, UK)","Ampersand (Oxford)","","2215-0390","101657859"
"Annals of depression and anxiety","Ann Depress Anxiety","","2381-8883","101657864"
"Journal of spectroscopy (Hindawi)","J Spectrosc (Hindawi)","2314-4920","2314-4939","101651184"
"International journal of psychology and behavioral sciences","Int J Psychol Behav Sci","2163-1948","2163-1956","101658234"
"World cultural psychiatry research review : official journal of World Association of Cultural Psychiatry","World Cult Psychiatry Res Rev","","1932-6270","101658238"
"Digital libraries for cultural heritage, knowledge dissemination, and future creation : 13th International Conference on Asia-Pacific Digital Libraries, ICADL 2011, Beijing, China, October 24-27, 2011. International Conference on Asia-P...","Digit Libraries Cult Herit Knowl Dissem Future Creat (2011)","","","101658239"
"International journal of anesthetics and anesthesiology","Int J Anesth Anesth","","2377-4630","101658241"
"Journal for development and leadership. Nelson Mandela Metropolitan University","J Dev Leadersh","2226-0102","","101657870"
"International journal of analytical mass spectrometry and chromatography","Int J Anal Mass Spectrom Cromatogr","2332-1768","2332-1776","101657890"
"Social computing, behavioral-cultural modeling, and prediction : 8th International Conference, SBP 2015, Washington, DC, USA, March 31-April 3, 2015. Proceedings. International Conference on Social Computing, Behavioral Modeling and Pre...","Soc Comput Behav Cult Model Predict (2015)","","","101658253"
"Healthcare technology letters","Healthc Technol Lett","","2053-3713","101646459"
"Vascular specialist international","Vasc Specialist Int","2288-7970","2288-7989","101633116"
"Dermatopathology (Basel, Switzerland)","Dermatopathology (Basel)","","2296-3529","101651125"
"Journal of clinical and translational hepatology","J Clin Transl Hepatol","2225-0719","2310-8819","101649815"
"Revista brasileira de ortopedia","Rev Bras Ortop (Sao Paulo)","0102-3616","1982-4378","0123326"
"Cardiology and angiology","Cardiol Angiol","","2347-520X","101658392"
"Diagnostics (Basel, Switzerland)","Diagnostics (Basel)","","2075-4418","101658402"
"Extreme Mechanics Letters","Extreme Mech Lett","","2352-4316","101658429"
"Aperito journal of cellular and molecular biology","Aperito J Cell Mol Biol","","","101658439"
"Journal of global health perspectives","J Glob Health Perspect","","2167-5570","101658448"
"Oncology nurse advisor","Oncol Nurse Advis","2154-350X","2157-6602","101658453"
"Hektoen international : a journal of medical humanities","Hektoen Int","","2155-3017","101658455"
"Drugs - real world outcomes","Drugs Real World Outcomes","2199-1154","2198-9788","101658456"
"Proceedings of the International Conference on Health Care Systems Engineering. International Conference on Health Care Systems Engineering (2013 : Milan, Italy)","Proc Int Conf Health Care Syst Eng (2013)","","","101658458"
"Renal nutrition forum","Renal Nutr Forum","1522-4538","","101658460"
"American journal of safe patient handling & movement","Am J Safe Patient Handl Mov","2162-1462","2162-1470","101596734"
"Social currents","Soc Curr","2329-4965","2329-4973","101658363"
"Kidney diseases (Basel, Switzerland)","Kidney Dis (Basel)","2296-9381","2296-9357","101658365"
"Journal of coatings technology and research","J Coat Technol Res","1945-9645","1935-3804","101658369"
"The journal of contemporary China = Dang dai Zhongguo","J Contemp China","1067-0564","1469-9400","101658376"
"FDLI's food and drug policy forum","FDLIs Food Drug Policy Forum","","2159-0893","101658381"
"Australasian journal of ultrasound in medicine","Australas J Ultrasound Med","1836-6864","2205-0140","101583539"
"Emergency (Tehran, Iran)","Emerg (Tehran)","2345-4563","2345-4571","101648866"
"Proceedings. IEEE International Requirements Engineering Conference","Proc IEEE Int Requir Eng Conf","","","101658684"
"Journal of pediatric surgical nursing","J Pediatr Surg Nurs","","2332-0249","101653184"
"Research and reports in biochemistry","Res Rep Biochem","","2230-3154","101658382"
"Dusunen adam : Bakirkoy Ruh ve Sinir Hastaliklari Hastanesi yayin organi","Dusunen Adam","1018-8681","","9424802"
"Machine learning and interpretation in neuroimaging : international workshop, MLINI 2011, held at NIPS 2011, Sierra Nevada, Spain, December 16-17, 2011 : revised selected and invited contributions. MLINI (Workshop) (2011 : Sierra Nevada...","Mach Learn Interpret Neuroimaging (2011)","","","101600203"
"Journal of pre-college engineering education research","J Precoll Eng Educ Res","","2157-9288","101658895"
"Sociology of race and ethnicity (Thousand Oaks, Calif.)","Sociol Race Ethn (Thousand Oaks)","2332-6492","2332-6506","101658901"
"Latin American economic review","Lat Am Econ Rev","2198-3526","2196-436X","101658922"
"JMIR mental health","JMIR Ment Health","","2368-7959","101658926"
"EJNMMI physics","EJNMMI Phys","","2197-7364","101658952"
"Computer-assisted and robotic endoscopy : first International Workshop, CARE 2014, held in conjunction with MICCAI 2014, Boston, MA, USA, September 18, 2014 : revised selected papers. CARE (Workshop) (1st : 2014 : Boston, Mass.)","Comput Assist Robot Endosc (2014)","","","101653722"
"Journal of gynecology research","J Gynecol Res","","","101658817"
"Journal of orthopaedic translation","J Orthop Translat","2214-031X","2214-0328","101625127"
"International journal of personality psychology","Int J Personal Psychol","","2451-9243","101659125"
"Musculoskeletal regeneration","Musculoskelet Regen","","2378-5551","101659130"
"The journal of pathology. Clinical research","J Pathol Clin Res","","2056-4538","101658534"
"Neurogenesis (Austin, Tex.)","Neurogenesis (Austin)","","2326-2133","101658535"
"IEEE journal of emerging and selected topics in power electronics","IEEE J Emerg Sel Top Power Electron","2168-6777","2168-6785","101658536"
"Smart homecare technology and telehealth","Smart Homecare Technol Telehealth","","2253-1564","101658666"
"Stem cell epigenetics","Stem Cell Epigenet","","2378-3095","101658680"
"Precision medicine","Precis Med","","2377-9888","101659292"
"Molecular & cellular epilepsy","Mol Cell Epilepsy","","2330-3891","101659134"
"Austin virology and retro virology","Austin Virol Retro Virol","","","101659308"
"International journal of health sciences education","Int J Health Sci Educ","","2325-9981","101659322"
"Bone and tissue regeneration insights","Bone Tissue Regen Insights","","1179-061X","101658162"
"Open journal of clinical & medical case reports","Open J Clin Med Case Rep","","2379-1039","101658769"
"Macrophage","Macrophage (Houst)","","2378-136X","101658783"
"Inflammation and cell signaling","Inflamm Cell Signal","","2330-7803","101658796"
"Journal of criminal psychology","J Crim Psychol","2009-3829","2049-9388","101658834"
"Hmong studies journal","Hmong Stud J","1553-3972","1091-1774","101658851"
"Spatio-temporal image analysis for longitudinal and time-series image data : third International Workshop, STIA 2014, held in conjunction with MICCAI 2014, Boston, MA, USA, September 18, 2014 : revised selected papers. STIA (Conference)...","Spatiotemporal Image Anal Longitud Time Ser Image Data (2014)","","","101659256"
"ACM computing surveys","ACM Comput Surv","0360-0300","1557-7341","9875115"
"Sexual medicine reviews","Sex Med Rev","2050-0513","2050-0521","101614773"
"Contributions to human development","Contrib Hum Dev","0301-4193","1664-2570","0425077"
"Journal of family health","J Fam Health","2058-7554","","101659451"
"Cardiovascular regenerative medicine","Cardiovasc Regen Med","","2378-3141","101659313"
"Anthropology in action : newsletter of the British Association for Social Anthropology in Policy and Practice (BASAPP)","Anthropol Action","0967-201X","1752-2285","101659315"
"The opera quarterly","Opera Q","0736-0053","1476-2870","101659317"
"Refresher courses in anesthesiology","Refresh Courses Anesthesiol","0363-471X","1537-1905","7608569"
"Environment and pollution (Toronto, Ont.)","Environ Pollut (Tor)","1927-0909","1927-0917","101659243"
"Journal of family medicine","J Fam Med","","","101659245"
"Journal of reward deficiency syndrome","J Reward Defic Syndr","","2379-111X","101659332"
"International journal of speech & language pathology and audiology","Int J Speech Lang Pathol Audiol","","2311-1917","101659403"
"Advances in pediatric research","Adv Pediatr Res","","2385-4529","101659416"
"Neurotransmitter (Houston, Tex.)","Neurotransmitter (Houst)","","2375-2440","101659425"
"Information and computation","Inf Comput","0890-5401","1090-2651","9882551"
"Journal of knot theory and its ramifications","J Knot Theory Ramif","0218-2165","1793-6527","101659074"
"Journal of media psychology","J Media Psychol","1864-1105","2151-2388","101659087"
"American journal of pharmacological sciences","Am J Pharmacol Sci","2327-6711","2327-672X","101659455"
"Nanotechnology reviews","Nanotechnol Rev","2191-9089","2191-9097","101659469"
"Motivation science","Motiv Sci","2333-8113","2333-8121","101659471"
"Current science international","Curr Sci Int","2077-4435","","101659607"
"Canadian acoustics = Acoustique canadienne","Can Acoust","0711-6659","2291-1391","101659662"
"SOJ anesthesiology & pain management","SOJ Anesthesiol Pain Manag","","2374-684X","101659667"
"Journal of complex networks","J Complex Netw","2051-1310","2051-1329","101659670"
"Harmful algae 2012 : proceedings of the 15th International Conference on Harmful Algae : October 29 - November 2, 2012, CECO, Changwon, Gyeongnam, Korea. International Conference on Harmful Algae (15th : 2012 : Changwon, Gyeongnam, Kore...","Harmful Algae 2012 (2012)","","","101659577"
"IEEE transactions on computational intelligence and AI in games","IEEE Trans Comput Intell AI Games","1943-068X","1943-0698","101659801"
"Global journal of chemistry","Glob J Chem","","","101659735"
"Online journal of rural and urban research","Online J Rural Urban Res","","1934-6867","101659768"
"Journal of public economic theory","J Public Econ Theory","1097-3923","1467-9779","101659810"
"Computational diffusion MRI : MICCAI Workshop, Boston, MA, USA, September 2014. CDMRI (Workshop) (6th : 2014 : Boston, Mass.)","Comput Diffus MRI (2014)","","","101659814"
"Global mental health (Cambridge, England)","Glob Ment Health (Camb)","","2054-4251","101659641"
"Applied mathematics and optimization","Appl Math Optim","0095-4616","1432-0606","9875919"
"Artificial intelligence review","Artif Intell Rev","0269-2821","1573-7462","9883087"
"Cold Spring Harbor molecular case studies","Cold Spring Harb Mol Case Stud","","2373-2873","101660017"
"Geophysical journal international","Geophys J Int","0956-540X","1365-246X","101286285"
"Bulletin of volcanology","Bull Volcanol","0258-8900","1432-0819","101659484"
"Ocean dynamics","Ocean Dyn","1616-7341","1616-7228","101659539"
"Post-medieval archaeology","Postmediev Archaeol","0079-4236","1745-8137","101659551"
"Solar physics","Sol Phys","0038-0938","1573-093X","101659554"
"Surveys in geophysics","Surv Geophys","0169-3298","1573-0956","101659560"
"The international journal of life cycle assessment","Int J Life Cycle Assess","0948-3349","1614-7502","101659490"
"Journal of big data","J Big Data","","2196-1115","101659495"
"Journal of economic structures","J Econ Struct","","2193-2409","101659534"
"Advanced science, engineering and medicine","Adv Sci Eng Med","2164-6627","2164-6635","101598509"
"Clinical medical reviews and case reports","Clin Med Rev Case Rep","","2378-3656","101660270"
"Eurographics/IEEE VGTC Symposium on Visualization : EUROVIS : [proceedings]. Eurographics/IEEE VGTC Symposium on Visualization","Eurograph IEEE VGTC Symp Vis","","","101660386"
"Integrative cancer science and therapeutics","Integr Cancer Sci Ther","","2056-4546","101660140"
"Food security","Food Secur","1876-4517","1876-4525","101660498"
"One health (Amsterdam, Netherlands)","One Health","","2352-7714","101660501"
"Clinical research and trials","Clin Res Trials","","2059-0377","101660517"
"Diagnosis (Berlin, Germany)","Diagnosis (Berl)","2194-8011","2194-802X","101654734"
"Monthly notices of the Royal Astronomical Society. Letters","Mon Not R Astron Soc Lett","","1745-3933","101648679"
"SoftwareX","SoftwareX","","2352-7110","101660267"
"The journal of macrotrends in health and medicine","J Macrotrends Health Med","2332-7626","2332-7634","101660539"
"Journal of advanced nutritional and human metabolism","J Adv Nutr Hum Metab","","2377-9764","101660464"
"IEEE International Symposium on Circuits and Systems proceedings. IEEE International Symposium on Circuits and Systems","IEEE Int Symp Circuits Syst Proc","0271-4302","2158-1525","101660392"
"Stem cell and translational investigation","Stem Cell Transl Investig","","2377-2557","101660398"
"Cuaderno de investigacion en la educacion : serie especial de temas especiales. University of Puerto Rico. Recinto de Rio Piedras. Centro de Investigaciones Educativas","Cuad Investig Educ","1540-0786","","101660033"
"ACS central science","ACS Cent Sci","2374-7943","2374-7951","101660035"
"Integrative molecular medicine","Integr Mol Med","","2056-6360","101660036"
"Journal of health informatics","J Health Inform","","2175-4411","101660048"
"International journal of waste resources","Int J Waste Resour","","2252-5211","101660557"
"ADMET & DMPK","ADMET DMPK","","1848-7718","101660124"
"Mundo da saude (1995)","Mundo Saude (1995)","0104-7809","1980-3990","9510058"
"Journal of clinical urology","J Clin Urol","2051-4158","2051-4166","101619599"
"Case reports in plastic surgery & hand surgery","Case Reports Plast Surg Hand Surg","","2332-0885","101655541"
"Proceedings of the ... Annual Hawaii International Conference on System Sciences. Annual Hawaii International Conference on System Sciences","Proc Annu Hawaii Int Conf Syst Sci","1530-1605","","101660575"
"Journal of nephrology research","J Nephrol Res","2410-0579","","101660588"
"PeerJ. Computer science","PeerJ Comput Sci","","2376-5992","101660598"
"Journal of mountain science","J Mt Sci","1672-6316","1993-0321","101660602"
"Digest of technical papers. SID International Symposium","Dig Tech Pap","0097-966X","2168-0159","101660608"
"Nordic journal of music therapy","Nord J Music Ther","0809-8131","1944-8260","101151220"
"BMJ innovations","BMJ Innov","","2055-642X","101659377"
"Clinical pharmacology in drug development","Clin Pharmacol Drug Dev","2160-763X","2160-7648","101572899"
"Annual review of vision science","Annu Rev Vis Sci","2374-4642","2374-4650","101660822"
"IEEE transactions on computational imaging","IEEE Trans Comput Imaging","","2333-9403","101660833"
"Journal of medical imaging and radiation sciences","J Med Imaging Radiat Sci","1939-8654","1876-7982","101469694"
"Body & society","Body Soc","1357-034X","1460-3632","101255942"
"International journal of urological nursing : the journal of the BAUN","Int J Urol Nurs","1749-7701","1749-771X","101308384"
"Journal of research in special educational needs : JORSEN","J Res Spec Educ Needs","","1471-3802","101291022"
"Clinical psychologist (Australian Psychological Society)","Clin Psychol (Aust Psychol Soc)","1328-4207","1742-9552","101233916"
"Retinal physician","Retin Physician","1552-812X","","101235202"
"Surgical practice","Surg Pract","1744-1625","1744-1633","101244760"
"Lipid technology","Lipid Technol","0956-666X","1863-5377","9426176"
"Educational psychology in practice","Educ Psychol Pract","0266-7363","1469-5839","9111384"
"Psychoanalytic inquiry","Psychoanal Inq","0735-1690","1940-9133","8109566"
"Journal of educational audiology : official journal of the Educational Audiology Association","J Educ Audiol","1526-6095","1529-8604","101631566"
"Mediterranean marine science","Mediterr Mar Sci","1108-393X","1791-6763","101660985"
"Allergo journal international","Allergo J Int","","2197-0378","101659261"
"International journal of university teaching and faculty development","Int J Univ Teach Fac Dev","1949-4947","2374-1015","101660912"
"Journal of analytical science and technology","J Anal Sci Technol","2093-3134","2093-3371","101559472"
"Linguistics vanguard : multimodal online journal","Linguist Vanguard","","2199-174X","101660926"
"Cell discovery","Cell Discov","","2056-5968","101661034"
"International journal of science, commerce and humanities","Int J Sci Commer Humanit","2052-6164","2053-5295","101661041"
"Rapid prototyping journal","Rapid Prototyp J","1355-2546","1758-7670","101661047"
"IET image processing","IET Image Process","1751-9659","1751-9667","101660828"
"The journal of faculty development","J Fac Dev","2153-1900","2153-1919","101660843"
"Bioelectronic medicine","Bioelectron Med","","2332-8886","101660849"
"Journal of loss prevention in the process industries","J Loss Prev Process Ind","0950-4230","1873-3352","101660977"
"International journal of hematology research","Int J Hematol Res","2409-3548","","101660989"
"Biochemistry and biophysics reports","Biochem Biophys Rep","","2405-5808","101660999"
"Communication sciences & disorders (Seoul, Korea)","Commun Sci Disord","2288-1328","2288-0917","101613783"
"IEEE microwave magazine","IEEE Microw Mag","1527-3342","1557-9581","101210898"
"Journal of the European Association for Health Information and Libraries","J Eur Assoc Health Inf Libr","1841-0715","2392-8131","101253017"
"X-ray spectrometry : XRS","Xray Spectrom","0049-8246","1097-4539","9876782"
"Financial management","Financ Manage","0046-3892","1755-053X","9877773"
"IEEE transactions on professional communication","IEEE Trans Prof Commun","0361-1434","1558-1500","101212333"
"Radio science","Radio Sci","0048-6604","1944-799X","9879367"
"Journal of rural and community development","J Rural Community Dev","","1712-8277","101661343"
"Journal of translational science","J Transl Sci","","2059-268X","101661355"
"Australian journal of learning difficulties","Aust J Learn Diffic","1940-4158","1940-4166","101661371"
"Proceedings. IEEE International Automated Software Engineering Conference","Proc IEEE Int Autom Softw Eng Conf","1527-1366","1558-3872","101660552"
"Iraqi journal of medical sciences","Iraqi J Med Sci","1681-6579","2224-4719","101661258"
"IEEE life sciences letters","IEEE Life Sci Lett","","2332-7685","101661275"
"Proceedings. Symposium on Computer Architecture and High Performance Computing","Proc Symp Comput Archit High Perform Comput","1550-6533","","101661281"
"Proceedings, Governance of technology, information and policies : addressing the challenges of worldwide interconnectivity. Workshop on Governance of Technology, Information and Policies (2010 : Austin, Tex.)","Proc Gov Technol Inf Policies (2010)","","","101661305"
"Oncologie (Paris, France)","Oncologie (Paris)","1292-3818","1765-2839","100886611"
"Fisheries oceanography","Fish Oceanogr","1054-6006","1365-2419","9886080"
"Veterinary record open","Vet Rec Open","","2052-6113","101653671"
"Advanced energy materials","Adv Energy Mater","1614-6832","1614-6840","101557036"
"Korean journal of neurotrauma","Korean J Neurotrauma","2234-8999","2288-2243","101584658"
"Pedagogy in health promotion","Pedagogy Health Promot","2373-3799","2373-3802","101656144"
"BJPsych bulletin","BJPsych Bull","2056-4694","2056-4708","101650950"
"Gefasschirurgie : Zeitschrift fur vaskulare und endovaskulare Chirurgie : Organ der Deutschen und der Osterreichischen Gesellschaft fur Gefasschirurgie unter Mitarbeit der Schweizerischen Gesellschaft fur Gefasschirurgie","Gefasschirurgie","0948-7034","1434-3932","9607490"
"Revista brasileira de ortopedia","Rev Bras Ortop","","2255-4971","101660959"
"Horticulture research","Hortic Res","2662-6810","2052-7276","101655540"
"Conservation physiology","Conserv Physiol","","2051-1434","101656116"
"Journal of resources and ecology","J Resour Ecol","1674-764X","","101661655"
"Journal of computational surgery","J Comput Surg","","2194-3990","101661657"
"BMJ outcomes","BMJ Outcomes","","","101661660"
"Advanced optical materials","Adv Opt Mater","","2195-1071","101661727"
"Applied stochastic models in business and industry","Appl Stoch Models Bus Ind","1524-1904","1526-4025","101661735"
"Children & society","Child Soc","0951-0605","1099-0860","101661740"
"Earthquake engineering & structural dynamics","Earthq Eng Struct Dyn","0098-8847","1096-9845","101661746"
"Journal of bioinformatics and proteomics review","J Bioinform Proteom Rev","","","101661502"
"SIAM journal on matrix analysis and applications : a publication of the Society for Industrial and Applied Mathematics","SIAM J Matrix Anal Appl","0895-4798","1095-7162","101661524"
"General relativity and gravitation","Gen Relativ Gravit","0001-7701","1572-9532","101661565"
"Stat (International Statistical Institute)","Stat (Int Stat Inst)","","2049-1573","101661793"
"Healthcom. International Conference on e-Health Networking, Applications and Services","Healthcom","","","101661794"
"Journal of geophysical research. Planets","J Geophys Res Planets","2169-9097","2169-9100","101661797"
"Journal of geophysical research. Space physics","J Geophys Res Space Phys","2169-9380","2169-9402","101661799"
"Journal of geophysical research. Solid earth","J Geophys Res Solid Earth","2169-9313","2169-9356","101661809"
"Landslides","Landslides","1612-510X","1612-5118","101661812"
