AADE editors' journal	Aade Ed. J.	AADE Ed J
Proceedings of the ... National Conference on Undergraduate Research. National Conference on Undergraduate Research	Proc. Natl. Conf. Undergrad. Res.	Proc Natl Conf Undergrad Res
Journal of forestry research	J. For. Res. Harbin.	J For Res (Harbin)
Journal of clinical pathways : the foundation of value-based care	J. Clin. Pathw.	J Clin Pathw
Structural control & health monitoring	Struct. Control Health Monit.	Struct Control Health Monit
Future drug discovery	Future Drug Discov.	Future Drug Discov
Journal of breast imaging	J. Breast Imaging	J Breast Imaging
Crohn's & colitis 360	Crohns. Colitis 360	Crohns Colitis 360
Asia Pacific journal of social work and development	Asia Pac. J. Soc. Work Dev.	Asia Pac J Soc Work Dev
Korean journal of critical care medicine	Korean J. Crit. Care Med.	Korean J Crit Care Med
Digital Pathology : 15th European congress, ECDP 2019, Warwick, UK, April 10-13, 2019 : proceedings. European Congress on Digital Pathology (15th : 2019 : Warwick, England)	Digit. Pathol. 2019	Digit Pathol (2019)
Human behavior and emerging technologies	Hum. Behav. Emerg. Technol.	Hum Behav Emerg Technol
Frontiers in sustainable food systems	Front. Sustain. Food Syst.	Front Sustain Food Syst
Acute and critical care	Acute Crit. Care	Acute Crit Care
Chemistry squared	Chem. Sq.	Chem Sq
Mobilization	Mobilization	Mobilization
Online journal of complementary & alternative medicine	Online J. Complement. Altern. Med.	Online J Complement Altern Med
Journal for STEM education research	J. Stem Educ. Res.	J STEM Educ Res
Renaissance drama (Evanston, Ill. : 1964)	Renaiss. Drama	Renaiss Drama
Journal of child language acquisition and development	J. Child Lang. Acquis. Dev.	J Child Lang Acquis Dev
Journal of life sciences (Westlake Village, Calif.)	J. Life Sci. Westlake Village	J Life Sci (Westlake Village)
Earth system dynamics : ESD	Earth Syst. Dyn.	Earth Syst Dyn
Emergent materials	Emergent Mater.	Emergent Mater
Selected areas in cryptography : ... annual international workshop, SAC ... proceedings. SAC (Conference)	Sel. Areas Cryptogr.	Sel Areas Cryptogr
Stem cell reviews and reports	Stem Cell Rev. Rep.	Stem Cell Rev Rep
Comptes rendus mathematique	C. R. Math.	C R Math
Journal of natural resources policy research	J. Nat. Resour. Policy Res.	J Nat Resour Policy Res
Histoire, medecine et sante	Hist. Med. Sante	Hist Med Sante
Journal of issues in intercollegiate athletics	J. Issues Intercoll. Athl.	J Issues Intercoll Athl
Journal of cannabis research	J. Cannabis Res.	J Cannabis Res
Developmental child welfare	Dev. Child Welf.	Dev Child Welf
IEEE International Conference on Control and Automation : [proceedings]. International Conference on Control and Automation	Ieee Int. Conf. Control Autom.	IEEE Int Conf Control Autom
Pharmaceutical frontiers	Pharm. Front.	Pharm Front
Child and adolescent obesity (Abingdon, England)	Child Adolesc. Obes.	Child Adolesc Obes
Advances in nanomedicine and nanotechnology research	Adv. Nanomed. Nanotechnol. Res.	Adv Nanomed Nanotechnol Res
Blockchain in healthcare today	Blockchain Healthc. Today	Blockchain Healthc Today
US CLIVAR reports	Us Clivar Rep.	US CLIVAR Rep
Translational medicine of aging	Transl. Med. Aging	Transl Med Aging
SIAM journal on mathematics of data science	Siam J. Math. Data Sci.	SIAM J Math Data Sci
Science & diplomacy	Sci. Dipl.	Sci Dipl
Journal of water resources planning and management	J. Water Resour. Plan. Manag.	J Water Resour Plan Manag
Annals of integrative molecular medicine	Ann. Integr. Mol. Med.	Ann Integr Mol Med
Quarterly review of distance education	Q. Rev. Distance Educ.	Q Rev Distance Educ
Journal of the neuromusculoskeletal system : JNMS : a journal of the American Chiropractic Association, Inc	J. Neuromusculoskelet. Syst.	J Neuromusculoskelet Syst
Yeungnam University journal of medicine	Yeungnam Univ. J. Med.	Yeungnam Univ J Med
International journal of diabetes and clinical research	Int. J. Diabetes Clin. Res.	Int J Diabetes Clin Res
Cooper Rowan medical journal	Cooper Rowan Med. J.	Cooper Rowan Med J
International journal of obesity and nutritional science	Int. J. Obes. Nutr. Sci.	Int J Obes Nutr Sci
Archives animal breeding	Arch. Anim. Breed.	Arch Anim Breed
Journal of clinical cardiology and cardiovascular therapy	J. Clin. Cardiol. Cardiovasc. Ther.	J Clin Cardiol Cardiovasc Ther
Frontiers in Mechanical Engineering	Front. Mech. Eng.	Front Mech Eng
Jacobs journal of genetics	Jacobs J. Genet.	Jacobs J Genet
Chemie-ingenieur-technik	Chem. Ing. Tech.	Chem Ing Tech
IEEE transactions on games	Ieee Trans. Games	IEEE Trans Games
Frontiers in built environment	Front. Built Environ.	Front Built Environ
Cold War history	Cold War Hist.	Cold War Hist
Irrigation and drainage (International Commission on Irrigation and Drainage)	Irrig. Drain.	Irrig Drain
Perspectives on public management and governance	Perspect. Public Manag. Gov.	Perspect Public Manag Gov
Journal of community medicine (Reno, Nev.)	J. Community Med. Reno	J Community Med (Reno)
Designs, codes, and cryptography	Des. Codes Cryptogr.	Des Codes Cryptogr
Middle East development journal	Middle East Dev. J.	Middle East Dev J
History of photography	Hist. Photogr.	Hist Photogr
Review of asset pricing studies	Rev. Asset Pricing Stud.	Rev Asset Pricing Stud
Journal of the philosophy of sport	J. Philos. Sport	J Philos Sport
Journal of media business studies	J. Media Bus. Stud.	J Media Bus Stud
International tax and public finance	Int. Tax Public Financ.	Int Tax Public Financ
Permafrost and periglacial processes	Permafr. Periglac. Process.	Permafr Periglac Process
Global food history	Glob. Food Hist.	Glob Food Hist
Set-valued and variational analysis	Set Valued Var. Anal.	Set Valued Var Anal
International journal of pharmaceutics: X	Int. J. Pharm. X	Int J Pharm X
Regional studies, regional science	Reg. Stud. Reg. Sci.	Reg Stud Reg Sci
Big earth data	Big Earth Data	Big Earth Data
Post-communist economies	Postcommunist. Econ.	Postcommunist Econ
The depositional record : a journal of biological, physical and geochemical sedimentary processes	Depos. Rec.	Depos Rec
Journal of consumer policy	J. Consum. Policy Dordr.	J Consum Policy (Dordr)
Geophysical prospecting	Geophys. Prospect.	Geophys Prospect
International journal of training and development	Int. J. Train. Dev.	Int J Train Dev
Corporate social responsibility and environmental management	Corp. Soc. Responsib. Environ. Manag.	Corp Soc Responsib Environ Manag
Big data analytics	Big Data Anal.	Big Data Anal
Cancer studies and therapeutics	Cancer Stud. Ther.	Cancer Stud Ther
Journal of renal cancer	J. Ren. Cancer	J Ren Cancer
Developments in clay science	Dev. Clay Sci.	Dev Clay Sci
European journal of nutrition & food safety	Eur. J. Nutr. Food Saf.	Eur J Nutr Food Saf
World health design	World Health Des.	World Health Des
Journal of fluid flow, heat and mass transfer	J. Fluid Flow Heat Mass Transf.	J Fluid Flow Heat Mass Transf
ICMR'17 : proceedings of the 2017 ACM International Conference on Multimedia Retrieval : June 6-9, 2017, Bucharest, Romania. ACM International Conference on Multimedia Retrieval (2017 : Bucharest, Romania)	Icmr 17 2017	ICMR 17 (2017)
Annals of lung cancer	Ann. Lung Cancer	Ann Lung Cancer
Annual reports on NMR spectroscopy	Annu. Rep. Nmr Spectrosc.	Annu Rep NMR Spectrosc
Design and technology education : an international journal	Des. Technol. Educ.	Des Technol Educ
Cases in public health communication and marketing	Cases Public Health Commun. Mark.	Cases Public Health Commun Mark
Ecopsychology	Ecopsychology	Ecopsychology
Cities & health	Cities Health	Cities Health
Annual research briefs. Center for Turbulence Research (U.S.)	Annu. Res. Br.	Annu Res Br
Journal of enabling technologies	J. Enabling Technol.	J Enabling Technol
ACM transactions on human-robot interaction	Acm Trans. Hum. Robot Interact.	ACM Trans Hum Robot Interact
Inform (Champaign, Ill.)	Inform Champaign	Inform (Champaign)
The journal of swimming research	J. Swim. Res.	J Swim Res
Journal of applied and computational topology	J. Appl. Comput. Topol.	J Appl Comput Topol
Water resources and economics	Water Resour. Econ.	Water Resour Econ
Wind energy (Chichester, England)	Wind Energy Chichester	Wind Energy (Chichester)
Biomaterial investigations in dentistry	Biomater. Investig. Dent.	Biomater Investig Dent
Intelligent service robotics	Intell. Serv. Robot.	Intell Serv Robot
Atmospheric Environment: X	Atmos. Environ. X	Atmos Environ X
Food packaging and shelf life	Food Packag. Shelf Life	Food Packag Shelf Life
Journal of field robotics	J. Field Robot.	J Field Robot
Neuro-oncology advances	Neurooncol. Adv.	Neurooncol Adv
Education in the north	Educ. North	Educ North
International journal of machine tools & manufacture	Int. J. Mach. Tools Manuf.	Int J Mach Tools Manuf
Notes on number theory and discrete mathematics	Notes Number Theory Discret. Math.	Notes Number Theory Discret Math
Bulletin of the National Research Centre	Bull. Natl. Res. Cent.	Bull Natl Res Cent
Simulation and synthesis in medical imaging : ... International Workshop, SASHIMI ..., held in conjunction with MICCAI ..., proceedings. SASHIMI (Workshop)	Simul. Synth. Med. Imaging	Simul Synth Med Imaging
Brain communications	Brain Commun.	Brain Commun
Soccer and society	Soccer Soc.	Soccer Soc
Journal of computational social science	J. Comput. Soc. Sci.	J Comput Soc Sci
AMRC open research	Amrc Open Res.	AMRC Open Res
ACM transactions on design automation of electronic systems	Acm Transact. Des. Autom. Electron. Syst.	ACM Transact Des Autom Electron Syst
Graphs and combinatorics	Graphs Comb.	Graphs Comb
Clinical archives of bone and joint diseases	Clin. Arch. Bone Jt. Dis.	Clin Arch Bone Jt Dis
International journal of information security	Int. J. Inf. Secur.	Int J Inf Secur
Heart and mind (Mumbai, India)	Heart Mind Mumbai	Heart Mind (Mumbai)
Diabesity	Diabesity	Diabesity
International journal of biomedical engineering and clinical science	Int. J. Biomed. Eng. Clin. Sci.	Int J Biomed Eng Clin Sci
Animal frontiers : the review magazine of animal agriculture	Anim. Front.	Anim Front
Current organocatalysis	Curr. Organocatal.	Curr Organocatal
Journal of cardiology and cardiovascular sciences	J. Cardiol. Cardiovasc. Sci.	J Cardiol Cardiovasc Sci
Northwest public health	Northwest Public Health	Northwest Public Health
Veterinary parasitology: X	Vet. Parasitol. X	Vet Parasitol X
Thought (Hoboken, N.J.)	Thought Hoboken	Thought (Hoboken)
Polish journal of food and nutrition sciences	Pol. J. Food Nutr. Sci.	Pol J Food Nutr Sci
IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing. IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing	Ieee Acm Int. Symp. Clust. Cloud Grid Comput.	IEEE ACM Int Symp Clust Cloud Grid Comput
Hospital practices and research	Hosp. Pract. Res.	Hosp Pract Res
Gastrointestinal disorders (Basel, Switzerland)	Gastrointest. Disord. Basel	Gastrointest Disord (Basel)
Future internet	Future Internet	Future Internet
SA journal of radiology	Sa J. Radiol.	SA J Radiol
International journal of blood research and disorders	Int. J. Blood Res. Disord.	Int J Blood Res Disord
BMC biomedical engineering	Bmc Biomed. Eng.	BMC Biomed Eng
Science Museum Group journal	Sci. Mus. Group J.	Sci Mus Group J
ChemSystemsChem	Chemsystemschem	ChemSystemsChem
NAR genomics and bioinformatics	Nar Genom. Bioinform.	NAR Genom Bioinform
Annals of pulmonary and critical care medicine	Ann. Pulm. Crit. Care Med.	Ann Pulm Crit Care Med
Kidney medicine	Kidney Med.	Kidney Med
IEEE systems, man, and cybernetics magazine	Ieee Syst. Man Cybern. Mag.	IEEE Syst Man Cybern Mag
HRB open research	Hrb Open Res.	HRB Open Res
Computational biomechanics for medicine. Soft tissues and the musculoskeletal system	Comput. Biomech. Med. Soft Tiss. Musculoskelet. Syst.	Comput Biomech Med Soft Tiss Musculoskelet Syst
Ophthalmic medical image analysis : 6th International Workshop, OMIA 2019, held in conjunction with MICCAI 2019, Shenzhen, China, October 17, Proceedings. OMIA (Workshop) (6th : 2019 : Shenzhen Shi, China)	Ophthalmic Med. Image Anal. 2019	Ophthalmic Med Image Anal (2019)
South Eastern European journal of public health	South East. Eur. J. Public Health	South East Eur J Public Health
Athletic training & sports health care	Athl. Train. Sports Health Care	Athl Train Sports Health Care
Advances in heat transfer	Adv. Heat Transf.	Adv Heat Transf
Medical computer vision : large data in medical imaging : third international MICCAI workshop, MCV 2013, Nagoya, Japan, September 26, 2013 : revised selected papers. MCV (Workshop) (3rd : 2013 : Nagoya-shi, Japan)	Med. Comput. Vis. 2013	Med Comput Vis (2013)
IEEE geoscience and remote sensing magazine	Ieee Geosci. Remote Sens. Mag.	IEEE Geosci Remote Sens Mag
Solid state sciences	Solid State Sci.	Solid State Sci
Opflow	Opflow	Opflow
Open journal of stomatology	Open J. Stomatol.	Open J Stomatol
OBM geriatrics	Obm Geriat.	OBM Geriat
Communication, culture & critique	Commun. Cult. Crit.	Commun Cult Crit
Defense acquisition research journal	Def. Acquis. Res. J.	Def Acquis Res J
Urban water journal	Urban Water J.	Urban Water J
Gynecology and pelvic medicine	Gynecol. Pelvic Med.	Gynecol Pelvic Med
Journal of cellular immunology	J. Cell. Immunol.	J Cell Immunol
Materials today. Bio	Mater. Today Bio	Mater Today Bio
Proceedings of the ... Annual Symposium on Computer-Human Interaction in Play. ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play	Proc. Annu. Symp. Comput. Hum. Interact. Play	Proc Annu Symp Comput Hum Interact Play
Global journal for research analysis	Glob. J. Res. Anal.	Glob J Res Anal
JACC. Case reports	Jacc Case Rep.	JACC Case Rep
Journal of technology and science education	J. Technol. Sci. Educ.	J Technol Sci Educ
Palliative care and social practice	Palliat. Care Soc. Pract.	Palliat Care Soc Pract
Community psychology in global perspective	Community Psychol. Glob. Perspect.	Community Psychol Glob Perspect
Clinical infection in practice	Clin. Infect. Pract.	Clin Infect Pract
SIAM undergraduate research online	Siam Undergrad. Res. Online	SIAM Undergrad Res Online
Ergonomics international journal	Ergon. Int. J.	Ergon Int J
International journal of numerical methods for heat & fluid flow	Int. J. Numer. Methods Heat Fluid Flow	Int J Numer Methods Heat Fluid Flow
Chinese journal of chemistry	Chin. J. Chem.	Chin J Chem
Eurasian journal of medicine and oncology	Eurasian J. Med. Oncol.	Eurasian J Med Oncol
Brain informatics : international conference, BI 2018, Arlington, TX, USA, December 7-9, 2018, proceedings. International Conference on Brain Informatics (2018 : Arlington, Tex.)	Brain Inform. 2018	Brain Inform (2018)
Steel research international	Steel Res. Int.	Steel Res Int
Current cancer reports	Curr. Cancer Rep.	Curr Cancer Rep
Proteomics & bioinformatics : current research	Proteom. Bioinform.	Proteom Bioinform
Psicologia Educativa	Psicol. Educ. Madr.	Psicol Educ (Madr)
Proceedings of the ... International Conference on Auditory Display. International Conference on Auditory Display	Proc. Int. Conf. Audit. Disp.	Proc Int Conf Audit Disp
Journal of medicinal chemistry and drug design	J. Med. Chem. Drug Des.	J Med Chem Drug Des
Current opinion in environmental science & health	Curr. Opin. Environ. Sci. Health	Curr Opin Environ Sci Health
Journal of bio- and tribo-corrosion	J. Bio Tribocorros.	J Bio Tribocorros
Environmental analysis, health and toxicology	Environ. Anal. Health Toxicol.	Environ Anal Health Toxicol
Gender in management	Gend. Manag.	Gend Manag
Ethics and social welfare	Ethics Soc. Welf.	Ethics Soc Welf
Frontline learning research	Frontline Learn. Res.	Frontline Learn Res
Graph Learning in Medical Imaging : First International Workshop, GLMI 2019, Held in Conjunction with MICCAI 2019, Shenzhen, China, October 17, 2019, Proceedings	Graph Learn. Med. Imaging 2019	Graph Learn Med Imaging (2019)
Dermatology case reports	Dermatol. Case Rep.	Dermatol Case Rep
Women in sport & physical activity journal	Women Sport Phys. Act. J.	Women Sport Phys Act J
EC clinical and experimental anatomy	Ec Clin. Exp. Anat.	EC Clin Exp Anat
Urology video journal	Urol. Video J.	Urol Video J
Domain Adaptation and Representation Transfer and Medical Image Learning with Less Labels and Imperfect Data : first MICCAI Workshop, DART 2019, and first International Workshop, MIL3ID 2019, Shenzhen, held in conjunction with MICCAI 20...	Domain Adapt. Represent. Transf. Med. Image Learn. Less Labels Imperfect Data 2019	Domain Adapt Represent Transf Med Image Learn Less Labels Imperfect Data (2019)
Pharmaceutical chemistry journal	Pharm. Chem. J.	Pharm Chem J
Results in chemistry	Results Chem.	Results Chem
Toxicology and forensic medicine : open journal	Toxicol. Forensic Med.	Toxicol Forensic Med
Journal of algebra and its applications	J. Algebra Appl.	J Algebra Appl
Beni-Suef University journal of basic and applied sciences	Beni Suef Univ. J. Basic Appl. Sci.	Beni Suef Univ J Basic Appl Sci
Journal of cultural cognitive science	J. Cult. Cogn. Sci.	J Cult Cogn Sci
IISE transactions	Iise Trans.	IISE Trans
HSOA journal of stem cells research, development & therapy	Hsoa J. Stem Cells Res. Dev. Ther.	HSOA J Stem Cells Res Dev Ther
Canadian journal of dental hygiene : CJDH = Journal canadien de l'hygiene dentaire : JCHD	Can. J. Dent. Hyg.	Can J Dent Hyg
Uncertainty for safe utilization of machine learning in medical imaging and clinical image-based procedures : first International Workshop, UNSURE 2019, and 8th International Workshop, CLIP 2019, held in conjunction with MICCAI 2019, Sh...	Uncertain. Safe Util. Machine Learn. Med. Imaging Clin. Image Based Proced. 2019	Uncertain Safe Util Machine Learn Med Imaging Clin Image Based Proced (2019)
Current research in biotechnology	Curr. Res. Biotechnol.	Curr Res Biotechnol
University of New Mexico orthopaedics research journal	Univ. N. M. Orthop. Res. J.	Univ N M Orthop Res J
Pancreas (Fairfax, Va.)	Pancreas Fairfax	Pancreas (Fairfax)
International Conference on Infrared, Millimeter, and Terahertz Waves : [proceedings]. International Conference on Infrared, Millimeter, and Terahertz Waves	Int. Conf. Infrared Millim. Terahertz Waves	Int Conf Infrared Millim Terahertz Waves
International journal of science and mathematics education	Int. J. Sci. Math. Educ.	Int J Sci Math Educ
Journal of human & clinical genetics	J. Hum. Clin. Genet.	J Hum Clin Genet
Journal of dentistry and oral sciences	J. Dent. Oral Sci.	J Dent Oral Sci
International journal of surgery protocols	Int. J. Surg. Protoc.	Int J Surg Protoc
ACM transactions on Internet technology	Acm Trans. Internet Technol.	ACM Trans Internet Technol
Journal of endourology. Part B, Videourology	J. Endourol. B Videourol.	J Endourol B Videourol
Brain, behavior, & immunity - health	Brain Behav. Immun. Health	Brain Behav Immun Health
Journal of laparoendoscopic & advanced surgical techniques. Part B, Videoscopy	J. Laparoendosc. Adv. Surg. Tech. Part B Videoscop.	J Laparoendosc Adv Surg Tech Part B Videoscop
IEEE transactions on cognitive and developmental systems	Ieee Trans. Cogn. Dev. Syst.	IEEE Trans Cogn Dev Syst
Frontiers in computer science	Front. Comput. Sci.	Front Comput Sci
Journal of computer security	J. Comput. Secur.	J Comput Secur
Conservation science and practice	Conserv. Sci. Pract.	Conserv Sci Pract
The journal of popular film and television : JPF & T	J. Pop. Film Telev.	J Pop Film Telev
Human brain and artificial intelligence : first International Workshop, HBAI 2019, held in conjunction with IJCAI 2019, Macao, China, August 12, 2019, revised selected papers. HBAI (Conference) (1st : 2019 : Macau, China)	Hum. Brain Artif. Intell. 2019	Hum Brain Artif Intell (2019)
Landscape research record	Landsc. Res. Rec.	Landsc Res Rec
Archives in neurology & neuroscience	Arch. Neurol. Neurosci.	Arch Neurol Neurosci
Multimodal brain image analysis and mathematical foundations of computational anatomy : 4th International Workshop, MBIA 2019, and 7th International Workshop, MFCA 2019, held in conjunction with MICCAI 2019, Shenzhen, China, October 17,...	Multimodal Brain Image Anal. Math. Found. Comput. Anat. 2019	Multimodal Brain Image Anal Math Found Comput Anat (2019)
Health psychology bulletin	Health Psychol. Bull.	Health Psychol Bull
Nigerian veterinary journal	Niger. Vet. J.	Niger Vet J
GMS health innovation and technologies	Gms Health Innov. Technol.	GMS Health Innov Technol
Annals of stem cell research	Ann. Stem Cell Res.	Ann Stem Cell Res
Global epidemiology	Glob. Epidemiol.	Glob Epidemiol
Videourology (New Rochelle, N.Y.)	Videourology New Rochelle	Videourology (New Rochelle)
Journal of health service psychology	J. Health Serv. Psychol.	J Health Serv Psychol
UNSCN nutrition	Unscn Nutr.	UNSCN Nutr
International journal of applied ceramic technology	Int. J. Appl. Ceram. Technol.	Int J Appl Ceram Technol
Metascience	Metascience	Metascience
Anaesthesia reports	Anaesth. Rep.	Anaesth Rep
Beitrage zur Tabakforschung international	Beitr. Tab. Int.	Beitr Tab Int
microPublication biology	Micropubl. Biol.	MicroPubl Biol
International journal of the economics of business	Int. J. Econ. Bus.	Int J Econ Bus
Journal of translational autoimmunity	J. Transl. Autoimmun.	J Transl Autoimmun
Clinical hematology international	Clin. Hematol. Int.	Clin Hematol Int
Biomarkers in neuropsychiatry	Biomark. Neuropsychiatry	Biomark Neuropsychiatry
Polymer engineering and science	Polym. Eng. Sci.	Polym Eng Sci
Animal microbiome	Anim. Microbiome	Anim Microbiome
ArXiv	Arxiv	ArXiv
Annals of cancer epidemiology	Ann. Cancer Epidemiol.	Ann Cancer Epidemiol
Reviews in fluorescence	Rev. Fluoresc.	Rev Fluoresc
Psicologia, reflexao e critica : revista semestral do Departamento de Psicologia da UFRGS	Psicol. Reflex. Crit.	Psicol Reflex Crit
Translational and clinical pharmacology	Transl. Clin. Pharmacol.	Transl Clin Pharmacol
Urologicke listy	Urol. Listy	Urol Listy
Visual computing for industry, biomedicine, and art	Vis. Comput. Ind. Biomed. Art	Vis Comput Ind Biomed Art
Video journal of prosthetic urology	Video J. Prosthet. Urol.	Video J Prosthet Urol
Interdisciplinary journal of partnership studies	Interdiscip. J. Partnersh. Stud.	Interdiscip J Partnersh Stud
Markov processes and related fields	Markov Process. Relat. Fields	Markov Process Relat Fields
Journal of pancreatology	J. Pancreatol.	J Pancreatol
Journal of advances in medical and pharmaceutical sciences	J. Adv. Med. Pharm. Sci.	J Adv Med Pharm Sci
American journal of urology research	Am. J. Urol. Res.	Am J Urol Res
Indian journal of cardiovascular disease in women WINCARS	Indian J. Cardiovasc. Dis. Women Wincars	Indian J Cardiovasc Dis Women WINCARS
Regenerative medicine frontiers	Regen. Med. Front.	Regen Med Front
Journal of air transportation (Reston, Va.)	J. Air Transp. Rest.	J Air Transp (Rest)
JCO global oncology	Jco Glob. Oncol.	JCO Glob Oncol
Research in astronomy and astrophysics	Res. Astron. Astrophys.	Res Astron Astrophys
Women's history	Womens. Hist.	Womens Hist
Lasers in dental science	Lasers Dent. Sci.	Lasers Dent Sci
Annual review of law and social science	Annu. Rev. Law Soc. Sci.	Annu Rev Law Soc Sci
World Academy of Sciences journal	World Acad. Sci. J.	World Acad Sci J
Journal of Appalachian studies	J. Appalach. Stud.	J Appalach Stud
Atomic data and nuclear data tables	At. Data Nucl. Data Tables	At Data Nucl Data Tables
Neuroscience insights	Neurosci. Insights	Neurosci Insights
Physical and engineering sciences in medicine	Phys. Eng. Sci. Med.	Phys Eng Sci Med
Orthopedics and sports medicine : open access journal	Orthop. Sports Med.	Orthop Sports Med
Annals of stem cell research & therapy	Ann. Stem Cell Res. Ther.	Ann Stem Cell Res Ther
Annals of trauma and acute care	Ann. Trauma Acute Care	Ann Trauma Acute Care
Journal of molecular biology & therapeutics	J. Mol. Biol. Ther.	J Mol Biol Ther
Informatics in medicine unlocked	Inform. Med. Unlocked	Inform Med Unlocked
Post-Soviet affairs	Post Sov. Aff.	Post Sov Aff
Arizona journal of environmental law & policy	Arizona J. Environ. Law Policy	Arizona J Environ Law Policy
Zeitschrift fur Naturforschung. A, Journal of physical sciences	Z. Nat. Forsch. A J. Phys. Sci.	Z Nat Forsch A J Phys Sci
Environment and planning. E, Nature and space	Environ. Plan. E Nat. Space	Environ Plan E Nat Space
Insights of biomedical research	Insights Biomed. Res.	Insights Biomed Res
Annual review of developmental psychology	Annu. Rev. Dev. Psychol.	Annu Rev Dev Psychol
Languages (Basel, Switzerland)	Languages Basel	Languages (Basel)
Nature cancer	Nat. Cancer	Nat Cancer
Elder law review (Penrith South, N.S.W.)	Elder Law Rev. Penrith South	Elder Law Rev (Penrith South)
Nature food	Nat. Food	Nat Food
Journal of diabetes and clinical research	J. Diabetes Clin. Res.	J Diabetes Clin Res
Clinical and experimental pediatrics	Clin. Exp. Pediatr.	Clin Exp Pediatr
Revista brasileira de medicina do trabalho : publicacao oficial da Associacao Nacional de Medicina do Trabalho-ANAMT	Rev. Bras. Med. Trab.	Rev Bras Med Trab
JCO oncology practice	Jco Oncol. Pract.	JCO Oncol Pract
International biomechanics	Int. Biomech.	Int Biomech
Lakes & reservoirs : research and management	Lakes Reserv.	Lakes Reserv
Frontiers in energy research	Front. Energy Res.	Front Energy Res
Turkish journal of pharmaceutical sciences	Turk. J. Pharm. Sci.	Turk J Pharm Sci
Southern clinics of Istanbul Eurasia	South. Clin. Istanb. Eurasia	South Clin Istanb Eurasia
JHEP reports : innovation in hepatology	Jhep Rep.	JHEP Rep
Plasma physics and controlled fusion	Plasma Phys. Control. Fusion	Plasma Phys Control Fusion
Health education and public health	Health Educ. Public Health	Health Educ Public Health
Psychology and mental health care : open access	Psychol. Ment. Health Care	Psychol Ment Health Care
Clinical parkinsonism & related disorders	Clin. Park. Relat. Disord.	Clin Park Relat Disord
Annals of medical research	Ann. Med. Res.	Ann Med Res
Asian journal of pharmaceutical sciences	Asian J. Pharm. Sci.	Asian J Pharm Sci
RSC medicinal chemistry	Rsc Med. Chem.	RSC Med Chem
Journal of structural biology: X	J. Struct. Biol. X	J Struct Biol X
Pulmonary research and respiratory medicine : open journal	Pulm. Res. Respir. Med.	Pulm Res Respir Med
Michigan journal of community service learning	Mich. J. Community Serv. Learn.	Mich J Community Serv Learn
Sisli Etfal Hastanesi tip bulteni	Sisli Etfal Hastan. Tip Bul.	Sisli Etfal Hastan Tip Bul
BMJ military health	Bmj Mil. Health	BMJ Mil Health
Proceedings of the ASME Conference on Smart Materials, Adaptive Structures, and Intelligent Systems. ASME Conference on Smart Materials, Adaptive Structures, and Intelligent Systems	Proc. Asme Conf. Smart Mater. Adapt. Struct. Intell. Syst.	Proc ASME Conf Smart Mater Adapt Struct Intell Syst
JACC. CardioOncology	Jacc Cardiooncol.	JACC CardioOncol
Experimental thermal and fluid science	Exp. Therm. Fluid Sci.	Exp Therm Fluid Sci
Journal of addiction science	J. Addict. Sci.	J Addict Sci
Space & polity	Space Polity	Space Polity
Cephalalgia reports	Cephalalgia Rep.	Cephalalgia Rep
Culture, agriculture, food and environment	Cult. Agric. Food Environ.	Cult Agric Food Environ
Calabar journal of health sciences	Calabar J. Health Sci.	Calabar J Health Sci
Sustainable production and consumption	Sustain. Prod. Consum.	Sustain Prod Consum
Journal of physical medicine and rehabilitation (Wilmington, Del.)	J. Phys. Med. Rehabil.	J Phys Med Rehabil
International Conference on Environmental Systems. American Institute of Aeronautics and Astronautics	Int. Conf. Environ. Syst.	Int Conf Environ Syst
Journal of African Association of Physiological Sciences	J. Afr. Assoc. Physiol. Sci.	J Afr Assoc Physiol Sci
Separation science plus	Sep. Sci. Plus	Sep Sci Plus
The bulletin of the London Mathematical Society	Bull. Lond. Math. Soc.	Bull Lond Math Soc
Wiley interdisciplinary reviews. Energy and environment	Wiley Interdiscip. Rev. Energy Environ.	Wiley Interdiscip Rev Energy Environ
Egyptian journal of occupational medicine	Egypt. J. Occup. Med.	Egypt J Occup Med
BMC complementary medicine and therapies	Bmc Complement. Med. Ther.	BMC Complement Med Ther
Oral and maxillofacial surgery cases	Oral Maxillofac. Surg. Cases	Oral Maxillofac Surg Cases
Professional development (Philadelphia, Pa.)	Prof. Dev. Phila.	Prof Dev (Phila)
EJHaem	Ejhaem	EJHaem
International journal of immunology and immunotherapy	Int. J. Immunol. Immunother.	Int J Immunol Immunother
Journal of psychiatry and psychiatric disorders	J. Psychiatry Psychiatr. Disord.	J Psychiatry Psychiatr Disord
Food frontiers	Food Front.	Food Front
OA journal of pregnancy and child care	Oa J. Pregnancy Child Care	OA J Pregnancy Child Care
Journal of military and government counseling	J. Mil. Gov. Couns.	J Mil Gov Couns
The European physical journal. D, Atomic, molecular, and optical physics	Eur. Phys. J. D At. Mol. Opt. Phys.	Eur Phys J D At Mol Opt Phys
Current medical imaging	Curr. Med. Imaging	Curr Med Imaging
SMST : proceedings of the International Conference on Shape Memory and Superelastic Technologies. International Conference on Shape Memory and Superelastic Technologies	Smst	SMST
